Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Aaron Connolly (2000),24.5,5.0,63.0,0.0,7.2,5.0,2000.0,21.0
Aaron Cresswell (1989),130.0,5.0,78.0,0.0,3.9000000000000004,5.0,1989.0,32.0
Aaron Hickey (2002),24.5,4.0,18.0,0.0,0.7,4.0,2002.0,19.0
Aaron Hunt (1986),23.1,3.0,27.0,1.0,2.1,2.0,1986.0,35.0
Aaron Lennon (1987),43.2,2.0,23.0,0.0,1.8,2.0,1987.0,34.0
Aaron Leya Iseka (1997),35.8,10.0,73.0,3.0,10.0,7.0,1997.0,24.0
Aaron Mooy (1990),83.19999999999999,9.0,100.0,2.0,5.5,7.0,1990.0,31.0
Aaron Ramsey (1990),60.2,16.0,139.0,0.0,17.1,16.0,1990.0,31.0
Aaron Rowe (2000),0.8,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Aaron Wan-Bissaka (1997),124.8,2.0,28.0,0.0,2.3,2.0,1997.0,24.0
Aarón Martín (1997),115.60000000000001,0.0,48.0,0.0,1.7,0.0,1997.0,24.0
Abdallah N'dour (1993),10.1,0.0,1.0,0.0,0.0,0.0,1993.0,28.0
Abdallahi Mahmoud (2000),2.4,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Abdel Jalil Medioub (1997),3.0,0.0,2.0,0.0,0.0,0.0,1997.0,24.0
Abdelhamid Sabiri (1996),14.5,4.0,43.0,1.0,2.0,3.0,1996.0,25.0
Abdessamad Ezzalzouli (2001),5.7,1.0,15.0,0.0,1.3,1.0,2001.0,20.0
Abdou Diallo (1996),91.60000000000001,3.0,30.0,0.0,4.3,3.0,1996.0,25.0
Abdou Harroui (1998),3.3,0.0,6.0,0.0,0.1,0.0,1998.0,23.0
Abdou Lahat Diakhate (1998),0.0,0.0,0.0,0.0,0.0,0.0,1998.0,23.0
Abdoul Camara (1990),10.8,2.0,19.0,0.0,1.3,2.0,1990.0,31.0
Abdoul Kader Bamba (1994),26.5,4.0,33.0,0.0,3.9,4.0,1994.0,27.0
Abdoulay Diaby (1991),0.2,0.0,1.0,0.0,0.3,0.0,1991.0,30.0
Abdoulaye Ba (1991),23.4,1.0,9.0,0.0,1.1,1.0,1991.0,30.0
Abdoulaye Bamba (1990),66.8,0.0,13.0,0.0,0.30000000000000004,0.0,1990.0,31.0
Abdoulaye Dabo (2001),1.3,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Abdoulaye Doucouré (1993),147.1,20.0,201.0,0.0,18.700000000000003,20.0,1993.0,28.0
Abdoulaye Sidibé (2002),0.1,0.0,0.0,0.0,0.0,0.0,2002.0,19.0
Abdoulaye Sylla (2000),0.1,0.0,0.0,0.0,0.0,0.0,2000.0,21.0
Abdoulaye Touré (1994),109.9,9.0,162.0,3.0,7.1,6.0,1994.0,27.0
Abdourahmane Barry (2000),2.3,0.0,1.0,0.0,0.0,0.0,2000.0,21.0
Abdul Majeed Waris (1991),37.4,8.0,58.0,2.0,7.800000000000001,6.0,1991.0,30.0
Abdón Prats (1992),6.9,1.0,22.0,0.0,2.0,1.0,1992.0,29.0
Abel Ruiz (2000),0.2,0.0,1.0,0.0,0.2,0.0,2000.0,21.0
Ablie Jallow (1998),1.4,0.0,3.0,0.0,0.2,0.0,1998.0,23.0
Abou Ouattara (1999),0.1,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Aboubakar Kamara (1995),17.4,4.0,34.0,1.0,3.3000000000000003,3.0,1995.0,26.0
Aboubakar Sidibé (1996),0.1,0.0,0.0,0.0,0.0,0.0,1996.0,25.0
Achraf Hakimi (1998),103.30000000000001,19.0,114.0,0.0,11.200000000000001,19.0,1998.0,23.0
Achraf Lazaar (1992),5.3,1.0,6.0,0.0,0.3,1.0,1992.0,29.0
Adalberto Peñaranda (1997),8.9,0.0,21.0,0.0,1.0,0.0,1997.0,24.0
Adam Armstrong (1997),13.0,2.0,42.0,0.0,4.0,2.0,1997.0,24.0
Adam Bodzek (1985),40.099999999999994,0.0,12.0,0.0,0.7999999999999999,0.0,1985.0,36.0
Adam Forshaw (1991),9.2,0.0,7.0,0.0,0.2,0.0,1991.0,30.0
Adam Idah (2001),5.7,0.0,11.0,0.0,2.3,0.0,2001.0,20.0
Adam Lallana (1988),45.00000000000001,2.0,61.0,0.0,6.4,2.0,1988.0,33.0
Adam Marušić (1992),110.3,8.0,95.0,0.0,8.2,8.0,1992.0,29.0
